"Name","Symbol","Average Volume","Market_Cap","Revenue","P.E.Ratio","Beta"
"3M","MMM","2.30M","115,670,000,000"," 32,770,000,000",21.85,1.05
"Abbott Labs","ABT","6.69M","134,600,000,000"," 30,580,000,000",55.28,1.13
"AbbVie","ABBV","6.95M","114,440,000,000"," 32,750,000,000",21.4,1.15
"Accenture","ACN","2.16M","107,720,000,000"," 42,150,000,000",23.84,1.1
"Activision Blizzard","ATVI","13.12M"," 32,100,000,000","  7,500,000,000",17.86,0.82
"Acuity Brands","AYI","421.51K","  5,140,000,000","  3,770,000,000",16.36,1.55
"Adobe","ADBE","3.51M","124,600,000,000","  9,030,000,000",45.65,1.11
"ADP","ADP","2.43M"," 65,330,000,000"," 13,840,000,000",35.31,0.99
"Advance Auto Parts","AAP","1.30M"," 10,880,000,000","  9,580,000,000",26.84,1.01
"Affiliated Managers","AMG","620.61K","  6,070,000,000","  2,380,000,000",24.23,1.5
"Aflac","AFL","3.70M"," 36,430,000,000"," 21,840,000,000",12.86,0.78
"Agilent Technologies","A","2.09M"," 24,760,000,000","  4,990,000,000",21.74,1.4
"AIG","AIG","6.83M"," 36,690,000,000"," 47,640,000,000",4161.74,1.39
"Air Products","APD","1.27M"," 39,830,000,000","  8,940,000,000",24.11,0.83
"Akamai","AKAM","1.49M"," 11,470,000,000","  2,710,000,000",39.21,0.55
"Alaska Air","ALK","1.72M","  6,850,000,000","  8,260,000,000",15.78,0.85
"Albemarle","ALB","1.60M","  8,770,000,000","  3,370,000,000",13.62,1.7
"Alexandria RE","ARE","738.16K"," 15,510,000,000","  1,650,000,000",39.53,0.94
"Alexion","ALXN","1.80M"," 28,760,000,000","  4,130,000,000",1675.74,1.57
"Align","ALGN","1.43M"," 18,460,000,000","  1,970,000,000",46.9,2.15
"Allegion PLC","ALLE","732.69K","  8,310,000,000","  2,730,000,000",20.37,1.19
"Allergan","AGN","3.11M"," 48,250,000,000"," 15,790,000,000",NA,1.3
"Alliance Data Systems","ADS","680.23K","  8,820,000,000","  7,790,000,000",9.8,1.78
"Alliant Energy","LNT","1.95M"," 10,920,000,000","  3,530,000,000",21.34,0.32
"Allstate","ALL","2.45M"," 32,140,000,000"," 39,830,000,000",16.09,0.82
"Alphabet A","GOOGL","1.80M","799,440,000,000","136,820,000,000",26.31,1.04
"Alphabet C","GOOG","1.59M","794,130,000,000","136,820,000,000",26.31,1.04
"Altria","MO","12.98M","103,790,000,000"," 25,360,000,000",14.64,0.4
"Amazon.com","AMZN","6.00M","796,140,000,000","232,890,000,000",81.72,1.63
"AMD","AMD","88.71M"," 22,130,000,000","  6,480,000,000",68.56,3.41
"Ameren","AEE","1.42M"," 17,540,000,000","  6,290,000,000",21.6,0.32
"American Airlines","AAL","8.31M"," 14,700,000,000"," 44,540,000,000",10.51,1.57
"American Electric Power","AEP","2.58M"," 40,420,000,000"," 16,200,000,000",21.15,0.15
"American Express","AXP","3.94M"," 91,070,000,000"," 41,630,000,000",14.75,1.1
"American Tower","AMT","1.94M"," 80,110,000,000","  7,440,000,000",65.57,0.68
"American Water Works","AWK","1.01M"," 18,530,000,000","  3,440,000,000",31.85,0.24
"Ameriprise Financial","AMP","1.05M"," 17,330,000,000"," 12,920,000,000",8.77,1.89
"AmerisourceBergen","ABC","1.48M"," 16,120,000,000","172,870,000,000",14.79,1.14
"Ametek","AME","1.41M"," 17,860,000,000","  4,850,000,000",23.88,1.2
"Amgen","AMGN","3.20M","112,550,000,000"," 23,750,000,000",14.35,1.21
"Amphenol","APH","1.35M"," 27,680,000,000","  8,200,000,000",22.44,0.91
"Anadarko Petroleum","APC","5.61M"," 21,020,000,000"," 13,070,000,000",30.16,1.57
"Analog Devices","ADI","2.89M"," 38,820,000,000","  7,740,000,000",24.74,1.24
"ANSYS","ANSS","481.29K"," 14,860,000,000","  1,290,000,000",36.24,1.35
"Anthem","ANTM","1.72M"," 75,830,000,000"," 92,130,000,000",20.93,0.95
"AO Smith","AOS","1.83M","  8,540,000,000","  3,190,000,000",19.71,1.38
"Aon","AON","1.25M"," 38,890,000,000"," 10,770,000,000",34.97,0.95
"Apache","APA","5.04M"," 11,990,000,000","  7,400,000,000",40.66,1.76
"Apartment Invest","AIV","1.51M","  7,130,000,000","  1,710,000,000",11.39,0.65
"Apple","AAPL","35.59M","820,530,000,000","261,610,000,000",14.49,1.11
"Applied Materials","AMAT","12.08M"," 35,830,000,000"," 16,800,000,000",9.39,1.62
"Aptiv","APTV","2.03M"," 21,270,000,000"," 14,440,000,000",19.78,1.79
"Archer-Daniels-Midland","ADM","3.70M"," 23,480,000,000"," 64,340,000,000",13.37,0.95
"Arconic Inc","ARNC","6.10M","  8,970,000,000"," 14,010,000,000",13.31,1.46
"Arthur J Gallagher","AJG","1.12M"," 14,340,000,000","  6,930,000,000",22.55,0.94
"Assurant","AIZ","447.52K","  6,170,000,000","  8,060,000,000",24.13,0.65
"AT&T","T","37.56M","218,250,000,000","170,760,000,000",10.81,0.57
"Autodesk","ADSK","1.83M"," 33,370,000,000","  2,390,000,000",NA,1.95
"AutoZone","AZO","341.85K"," 23,560,000,000"," 11,310,000,000",17.7,0.68
"AvalonBay","AVB","622.72K"," 27,210,000,000","  2,280,000,000",27.97,0.63
"Avery Dennison","AVY","726.88K","  9,100,000,000","  7,160,000,000",20.37,1.4
"Baker Hughes A","BHGE","5.03M"," 26,670,000,000"," 22,880,000,000",126.75,0.87
"Ball","BLL","2.97M"," 18,390,000,000"," 11,640,000,000",38.06,0.82
"Bank of America","BAC","70.53M","277,030,000,000"," 56,140,000,000",10.98,1.49
"Bank of NY Mellon","BK","5.77M"," 49,140,000,000","  9,800,000,000",13.1,1.04
"Baxter","BAX","3.43M"," 37,990,000,000"," 11,130,000,000",28.45,1.02
"BB&T","BBT","5.94M"," 38,220,000,000","  6,680,000,000",12.8,1.14
"Becton Dickinson","BDX","1.09M"," 66,380,000,000"," 17,060,000,000",51.28,1.23
"Berkshire Hathaway B","BRKb","4.95M","    326,970,000","247,840,000,000",143.93,0.79
"Best Buy","BBY","3.88M"," 18,130,000,000"," 42,880,000,000",12.8,0.96
"Biogen Inc","BIIB","1.30M"," 60,570,000,000"," 13,450,000,000",14.18,1.11
"BlackRock","BLK","694.41K"," 66,380,000,000"," 14,200,000,000",15.85,1.44
"Boeing","BA","4.25M","238,730,000,000","101,130,000,000",23.64,1.37
"Booking","BKNG","483.71K"," 77,230,000,000"," 14,530,000,000",20.82,1.02
"BorgWarner","BWA","1.73M","  7,920,000,000"," 10,530,000,000",8.7,1.74
"Boston Properties","BXP","725.23K"," 20,410,000,000","  3,380,000,000",35.79,0.95
"Boston Scientific","BSX","7.14M"," 54,760,000,000","  9,820,000,000",34.52,0.9
"Brighthouse Financial","BHF","1.43M","  4,420,000,000","  8,970,000,000",5.23,NA
"Bristol-Myers Squibb","BMY","17.73M"," 83,900,000,000"," 22,560,000,000",16.91,0.8
"Broadcom","AVGO","3.37M","104,650,000,000"," 20,850,000,000",23.19,0.7
"Brookfield Property A","BPR","1.73M"," 24,210,000,000","  2,060,000,000",0.74,NA
"Brown Forman","BFb","1.42M"," 23,810,000,000","  3,310,000,000",34.79,0.65
"Cabot Oil&Gas","COG","6.72M"," 10,440,000,000","  2,190,000,000",20.02,0.61
"Cadence Design","CDNS","1.78M"," 16,590,000,000","  2,140,000,000",48.29,1.08
"Campbell Soup","CPB","3.08M"," 10,850,000,000","  9,750,000,000",NA,0.4
"Capital One Financial","COF","3.02M"," 38,070,000,000"," 16,310,000,000",6.88,1.26
"Capri Holdings","CPRI","3.07M","  6,570,000,000","  5,070,000,000",11.47,0.51
"Cardinal Health","CAH","3.24M"," 14,220,000,000","141,940,000,000",NA,1.23
"CarMax","KMX","1.89M","  9,930,000,000"," 17,940,000,000",13.27,1.28
"Carnival Corp","CCL","4.09M"," 39,510,000,000"," 18,880,000,000",12.36,1.25
"Caterpillar","CAT","4.93M"," 75,600,000,000"," 54,720,000,000",13.06,1.47
"Cboe Global","CBOE","802.17K"," 10,300,000,000","  2,770,000,000",24.52,0.22
"CBRE A","CBRE","1.90M"," 16,880,000,000"," 21,340,000,000",15.97,1.71
"CBS","CBS","3.22M"," 18,280,000,000"," 14,510,000,000",9.8,1.27
"Celgene","CELG","11.29M"," 59,320,000,000"," 15,280,000,000",15.26,1.68
"Centene","CNC","3.58M"," 23,370,000,000"," 60,120,000,000",24.3,1.31
"CenterPoint Energy","CNP","5.25M"," 15,050,000,000"," 10,590,000,000",40.78,0.44
"CenturyLink","CTL","17.53M"," 13,270,000,000"," 23,440,000,000",NA,0.79
"Cerner","CERN","2.47M"," 17,990,000,000","  5,370,000,000",29.36,0.97
"CF Industries","CF","2.81M","  8,980,000,000","  4,430,000,000",30.8,0.72
"CH Robinson","CHRW","1.26M"," 11,970,000,000"," 16,630,000,000",18.37,0.73
"Charter Communications","CHTR","1.38M"," 76,070,000,000"," 43,630,000,000",64.36,1.41
"Chesapeake Energy","CHK","48.72M","  4,450,000,000"," 10,230,000,000",3.36,2.47
"Chevron","CVX","7.04M","231,090,000,000","158,770,000,000",15.73,1
"Chipotle Mexican Grill","CMG","725.16K"," 17,050,000,000","  4,860,000,000",101.32,0.64
"Chubb","CB","1.71M"," 60,670,000,000"," 32,770,000,000",15.72,0.83
"Church&Dwight","CHD","2.02M"," 16,140,000,000","  4,150,000,000",28.94,0.21
"Cigna","CI","3.17M"," 62,000,000,000"," 44,880,000,000",15.29,0.75
"Cimarex Energy","XEC","1.46M","  6,930,000,000","  2,910,000,000",8.21,1.35
"Cincinnati Financial","CINF","702.93K"," 13,770,000,000","  5,410,000,000",48.91,0.71
"Cintas","CTAS","577.44K"," 21,050,000,000","  6,670,000,000",28.86,1.08
"Cisco","CSCO","23.89M","224,810,000,000"," 50,830,000,000",19.71,1.21
"Citigroup","C","20.15M","145,250,000,000"," 48,730,000,000",9.26,1.68
"Citizens Financial Group Inc","CFG","5.25M"," 16,200,000,000","  3,860,000,000",10.04,1.44
"Citrix Systems","CTXS","2.03M"," 13,170,000,000","  2,970,000,000",26.56,1.06
"Clorox","CLX","1.05M"," 20,230,000,000","  6,240,000,000",26.13,0.31
"CME Group","CME","1.92M"," 61,210,000,000","  4,310,000,000",29.99,0.34
"CMS Energy","CMS","2.43M"," 15,480,000,000","  6,870,000,000",24.63,0.18
"Coca-Cola","KO","16.45M","191,700,000,000"," 31,860,000,000",28.79,0.52
"Cognizant","CTSH","3.81M"," 81,970,000,000"," 16,130,000,000",19.82,0.96
"Colgate-Palmolive","CL","4.54M"," 56,310,000,000"," 15,540,000,000",23,0.77
"Comcast","CMCSA","20.85M","172,850,000,000"," 94,510,000,000",15.09,1.11
"Comerica","CMA","2.19M"," 13,270,000,000","  1,860,000,000",11.7,1.48
"ConAgra Foods","CAG","8.72M"," 10,910,000,000","  8,180,000,000",18.25,0.74
"Concho Resources","CXO","2.07M"," 20,120,000,000","  5,100,000,000",8.38,1.15
"ConocoPhillips","COP","6.34M"," 74,220,000,000"," 36,540,000,000",12.29,1.09
"Consolidated Edison","ED","2.21M"," 26,910,000,000"," 12,340,000,000",18.98,0.1
"Constellation Brands A","STZ","2.73M"," 31,550,000,000"," 10,130,000,000",13.22,0.46
"Cooper","COO","418.27K"," 14,220,000,000","  2,570,000,000",39.93,0.88
"Corning","GLW","5.32M"," 26,590,000,000"," 11,290,000,000",32.22,1.17
"Costco","COST","2.52M","100,240,000,000","144,840,000,000",29.51,0.92
"Coty Inc","COTY","11.44M","  8,260,000,000","  9,060,000,000",NA,0.91
"Crown Castle","CCI","2.01M"," 50,270,000,000","  5,420,000,000",89.96,0.43
"CSX","CSX","5.42M"," 58,540,000,000"," 12,250,000,000",18.64,1.29
"Cummins","CMI","1.35M"," 24,320,000,000"," 23,770,000,000",11.88,1.07
"CVS Health Corp","CVS","12.34M"," 68,650,000,000","194,580,000,000",NA,0.97
"Danaher","DHR","3.15M"," 89,090,000,000"," 19,890,000,000",33.56,1.05
"Darden Restaurants","DRI","1.37M"," 13,290,000,000","  8,300,000,000",22.58,0.31
"DaVita","DVA","1.73M","  8,310,000,000"," 11,400,000,000",14.03,1.34
"Deere&Company","DE","2.29M"," 50,640,000,000"," 38,440,000,000",16.61,0.94
"Delta Air Lines","DAL","8.06M"," 33,670,000,000"," 44,440,000,000",8.74,1.06
"Dentsply","XRAY","2.31M"," 10,810,000,000","  4,020,000,000",NA,1.03
"Devon Energy","DVN","8.89M"," 12,910,000,000"," 17,760,000,000",22.31,2.28
"Digital","DLR","1.58M"," 23,120,000,000","  3,050,000,000",92.6,0.52
"Discover","DFS","2.49M"," 22,950,000,000","  6,690,000,000",8.96,1.59
"Discovery A","DISCA","3.94M"," 15,150,000,000"," 10,550,000,000",35.37,1.38
"Discovery Communications C","DISCK","2.34M"," 14,300,000,000"," 10,550,000,000",35.37,1.38
"DISH Network","DISH","3.56M"," 14,860,000,000"," 13,620,000,000",10.6,1.58
"Dollar General","DG","2.18M"," 31,210,000,000"," 25,100,000,000",21.13,0.71
"Dollar Tree","DLTR","2.69M"," 24,370,000,000"," 22,820,000,000",NA,0.39
"Dominion Resources","D","5.49M"," 60,530,000,000"," 13,370,000,000",19.91,0.21
"Dover","DOV","1.26M"," 12,940,000,000","  6,990,000,000",23.02,1.48
"DR Horton","DHI","6.41M"," 15,090,000,000"," 16,250,000,000",9.92,1.2
"DTE Energy","DTE","1.16M"," 22,410,000,000"," 14,210,000,000",19.57,0.3
"Duke","DRE","2.38M"," 10,740,000,000","    947,880,000",28.32,0.74
"Duke Energy","DUK","3.42M"," 65,580,000,000"," 24,520,000,000",23.95,0.05
"DuPont","DWDP","12.22M","123,290,000,000"," 85,980,000,000",33.44,NA
"DXC Technology","DXC","2.50M"," 17,220,000,000"," 21,770,000,000",12.94,1.55
"E-TRADE","ETFC","3.00M"," 11,540,000,000","  3,040,000,000",12.05,1.16
"Eastman Chemical","EMN","1.29M"," 11,040,000,000"," 10,150,000,000",10.69,1.18
"Eaton","ETN","2.80M"," 33,630,000,000"," 21,610,000,000",16.16,1.46
"eBay","EBAY","13.77M"," 32,840,000,000"," 10,750,000,000",17.26,1.36
"Ecolab","ECL","1.09M"," 48,810,000,000"," 14,670,000,000",32.46,0.89
"Edison","EIX","2.70M"," 20,220,000,000"," 12,660,000,000",NA,-0.04
"Edwards Lifesciences","EW","1.23M"," 35,170,000,000","  3,720,000,000",48.47,0.91
"Electronic Arts","EA","7.60M"," 29,470,000,000","  5,290,000,000",20.61,1.17
"Eli Lilly","LLY","13.08M","131,190,000,000"," 24,560,000,000",38.38,0.32
"Emerson","EMR","4.21M"," 40,930,000,000"," 17,740,000,000",20.75,1.22
"Entergy","ETR","1.50M"," 17,530,000,000"," 11,010,000,000",19.92,0.38
"EOG Resources","EOG","3.69M"," 50,140,000,000"," 17,100,000,000",14.91,1.29
"EQT","EQT","5.40M","  4,680,000,000","  4,560,000,000",NA,0.67
"Equifax","EFX","1.19M"," 13,100,000,000","  3,410,000,000",43.95,1.22
"Equinix","EQIX","617.73K"," 35,860,000,000","  5,070,000,000",96.25,0.9
"Equity Residential","EQR","1.64M"," 27,240,000,000","  2,580,000,000",41.58,0.63
"Essex Property","ESS","323.35K"," 18,620,000,000","  1,400,000,000",48.02,0.5
"Estee Lauder","EL","2.23M"," 56,360,000,000"," 14,190,000,000",34.4,0.71
"Everest","RE","288.83K","  8,820,000,000","  9,130,000,000",88.51,0.35
"Eversource Energy","ES","1.80M"," 22,090,000,000","  8,470,000,000",21.35,0.33
"Exelon","EXC","5.50M"," 47,300,000,000"," 35,990,000,000",23.53,0.35
"Expedia","EXPE","1.59M"," 17,860,000,000"," 11,220,000,000",45.89,0.95
"Expeditors Washington","EXPD","1.17M"," 12,790,000,000","  8,140,000,000",20.77,0.8
"Extra Space Storage","EXR","901.84K"," 12,360,000,000","  1,480,000,000",31.33,0.32
"Exxon Mobil","XOM","14.71M","334,590,000,000","279,330,000,000",16.2,0.89
"F5 Networks","FFIV","689.26K","  9,480,000,000","  2,180,000,000",19.46,0.96
"Facebook","FB","22.85M","483,950,000,000"," 55,840,000,000",22.37,0.87
"Fastenal","FAST","2.68M"," 17,580,000,000","  4,970,000,000",23.79,1.15
"Federal Realty","FRT","425.12K","  9,800,000,000","    915,440,000",43.71,0.54
"FedEx","FDX","2.68M"," 44,840,000,000"," 68,720,000,000",15.14,1.65
"Fidelity National Info","FIS","1.83M"," 34,570,000,000","  8,420,000,000",41.41,0.76
"Fifth Third","FITB","6.15M"," 17,300,000,000","  3,850,000,000",8.76,1.36
"FirstEnergy","FE","5.40M"," 21,680,000,000"," 14,240,000,000",30.39,0.28
"Fiserv","FISV","4.97M"," 33,320,000,000","  5,820,000,000",29.17,0.83
"FLIR Systems","FLIR","1.03M","  6,850,000,000","  1,780,000,000",24.53,1.11
"Flowserve","FLS","1.20M","  5,630,000,000","  3,830,000,000",49.49,1.63
"Fluor","FLR","2.06M","  5,100,000,000"," 19,170,000,000",22.97,1.77
"FMC","FMC","984.93K"," 10,260,000,000","  4,730,000,000",15.81,1.51
"Foot Locker","FL","2.70M","  7,300,000,000","  7,940,000,000",13.6,0.73
"Ford Motor","F","44.91M"," 33,500,000,000","160,340,000,000",9.48,1.03
"Fortive","FTV","1.72M"," 26,900,000,000","  6,450,000,000",32.64,NA
"Fortune Brands","FBHS","1.82M","  6,490,000,000","  5,490,000,000",17.09,1.45
"Fox Inc","FOX","4.52M"," 93,240,000,000"," 31,040,000,000",6.75,0.98
"Franklin Resources","BEN","3.40M"," 15,960,000,000","  7,730,000,000",10.9,1.19
"Freeport-McMoran","FCX","23.37M"," 17,520,000,000"," 18,630,000,000",7.1,2.28
"Gap","GPS","5.77M","  9,800,000,000"," 16,580,000,000",10.02,0.51
"Garmin","GRMN","1.11M"," 15,660,000,000","  3,350,000,000",22.61,0.95
"Gartner","IT","677.30K"," 12,670,000,000","  3,980,000,000",111.12,1.31
"General Dynamics","GD","1.62M"," 47,890,000,000"," 36,190,000,000",14.8,1.13
"General Electric","GE","118.94M"," 83,390,000,000","121,620,000,000",NA,1.04
"General Mills","GIS","5.67M"," 27,780,000,000"," 16,280,000,000",18.38,0.75
"General Motors","GM","10.51M"," 53,550,000,000","147,050,000,000",6.64,1.32
"Genuine Parts","GPC","971.52K"," 15,460,000,000"," 18,740,000,000",19.25,1.06
"Gilead","GILD","7.92M"," 80,650,000,000"," 22,130,000,000",15.18,1.19
"Global Payments","GPN","1.39M"," 20,540,000,000","  3,370,000,000",48.4,1.2
"Goldman Sachs","GS","3.87M"," 71,900,000,000"," 53,180,000,000",8.13,1.22
"H&R Block","HRB","3.53M","  5,130,000,000","  3,180,000,000",9.53,0.09
"Halliburton","HAL","10.81M"," 23,970,000,000"," 24,000,000,000",14.96,1.24
"Hanesbrands","HBI","6.47M","  6,610,000,000","  6,800,000,000",12.1,0.95
"Harley-Davidson","HOG","2.20M","  6,010,000,000","  5,720,000,000",11.85,1.14
"Harris","HRS","1.11M"," 19,080,000,000","  6,440,000,000",24.3,1.24
"Hartford","HIG","2.65M"," 17,290,000,000"," 18,960,000,000",12.16,0.72
"Hasbro","HAS","1.35M"," 10,950,000,000","  4,580,000,000",42.74,0.89
"HCA","HCA","1.72M"," 42,710,000,000"," 46,680,000,000",13.71,0.84
"HCP","HCP","3.52M"," 14,510,000,000","  1,850,000,000",13.88,0.44
"Helmerich&Payne","HP","1.61M","  5,780,000,000","  3,230,000,000",NA,1.49
"Henry Schein","HSIC","1.99M","  8,870,000,000"," 13,200,000,000",17.18,0.88
"Hershey","HSY","1.21M"," 23,330,000,000","  7,790,000,000",20.08,0.13
"Hess","HES","4.78M"," 16,700,000,000","  6,430,000,000",NA,1.97
"Hewlett Packard","HPE","11.63M"," 21,390,000,000"," 30,730,000,000",11.72,1.64
"Hilton Worldwide","HLT","2.93M"," 24,150,000,000","  8,910,000,000",32.29,1.17
"Hologic","HOLX","2.32M"," 13,580,000,000","  3,260,000,000",NA,0.76
"Home Depot","HD","4.99M","204,970,000,000","108,200,000,000",18.82,1.09
"Honeywell","HON","3.11M","110,520,000,000"," 41,800,000,000",24.8,1.09
"Hormel Foods","HRL","2.99M"," 23,030,000,000","  9,570,000,000",24.91,0.18
"Host Hotels Resorts","HST","7.40M"," 14,280,000,000","  5,520,000,000",13.14,1.26
"HP Inc","HPQ","11.33M"," 28,850,000,000"," 58,670,000,000",8.57,1.42
"Humana","HUM","1.13M"," 36,390,000,000"," 56,910,000,000",21.57,0.96
"Huntington Bancshares","HBAN","12.68M"," 14,460,000,000","  2,730,000,000",11.53,1.4
"IBM","IBM","4.92M","120,570,000,000"," 79,590,000,000",11.48,1.23
"ICE","ICE","2.97M"," 41,250,000,000","  4,980,000,000",21.17,0.52
"IDEXX Labs","IDXX","568.06K"," 17,350,000,000","  2,210,000,000",47.07,0.99
"IFF","IFF","904.98K"," 13,370,000,000","  3,980,000,000",28.04,0.78
"IHS Markit Ltd","INFO","2.17M"," 20,880,000,000","  4,010,000,000",53.26,0.83
"Illinois Tool Works","ITW","1.56M"," 46,670,000,000"," 14,770,000,000",18.5,1.22
"Illumina","ILMN","1.03M"," 43,300,000,000","  3,330,000,000",52.51,1.19
"Incyte","INCY","1.54M"," 17,580,000,000","  1,880,000,000",162.91,1.4
