"Name","Symbol","Average Volume","Market_Cap","Revenue","P.E.Ratio","Beta"
"Ingersoll-Rand","IR","1.58M"," 25,260,000,000"," 15,670,000,000",19.29,1.3
"Intel","INTC","25.78M","237,000,000,000"," 70,850,000,000",11.87,0.78
"International Paper","IP","3.07M"," 18,320,000,000"," 23,310,000,000",11.63,1.55
"Intuit","INTU","1.64M"," 63,700,000,000","  6,430,000,000",43.71,1.18
"Intuitive Surgical","ISRG","769.25K"," 61,110,000,000","  3,720,000,000",56.16,1.12
"Invesco","IVZ","4.91M","  7,400,000,000","  5,310,000,000",8.66,1.51
"IPG","IPG","4.88M","  8,560,000,000","  9,710,000,000",14.02,1.07
"IPG Photonics","IPGP","487.80K","  7,840,000,000","  1,460,000,000",19.45,1.85
"Iron Mountain","IRM","2.17M","  9,960,000,000","  4,230,000,000",26.54,0.75
"J&J","JNJ","9.54M","367,670,000,000"," 81,580,000,000",24.61,0.66
"Jacobs Engineering","JEC","1.46M"," 10,030,000,000"," 15,320,000,000",22.58,1.44
"JB Hunt","JBHT","1.00M"," 11,070,000,000","  8,610,000,000",22.81,1.15
"Jefferies Financial","JEF","2.39M","  6,120,000,000","  8,220,000,000",15.06,1.37
"JM Smucker","SJM","1.23M"," 11,660,000,000","  7,720,000,000",18.51,0.54
"Johnson Controls","JCI","5.06M"," 32,750,000,000"," 29,430,000,000",17.19,1.06
"JPMorgan","JPM","15.67M","342,550,000,000"," 65,990,000,000",11.46,1.11
"Juniper","JNPR","3.78M","  8,940,000,000","  4,650,000,000",15.86,0.85
"Kansas City Southern","KSU","1.19M"," 11,230,000,000","  2,710,000,000",18.77,0.87
"Kellogg","K","2.84M"," 18,750,000,000"," 13,550,000,000",14.34,0.54
"Keurig Dr Pepper","KDP","2.88M"," 37,120,000,000","  9,040,000,000",60.22,0.54
"KeyCorp","KEY","12.39M"," 17,350,000,000","  3,790,000,000",9.86,1.21
"Kimberly-Clark","KMB","2.27M"," 39,910,000,000"," 18,490,000,000",26.5,0.62
"Kimco","KIM","4.07M","  7,300,000,000","  1,470,000,000",36.44,0.67
"Kinder Morgan","KMI","16.44M"," 44,660,000,000"," 14,140,000,000",29.57,0.92
"KKR & Co","KKR","4.78M"," 18,640,000,000","  2,400,000,000",11.24,1.64
"KLA-Tencor","KLAC","1.73M"," 17,250,000,000","  4,300,000,000",12.76,1.6
"Kohls Corp","KSS","3.65M"," 11,190,000,000"," 20,230,000,000",13.97,0.8
"Kraft Heinz","KHC","11.93M"," 39,130,000,000"," 39,250,000,000",NA,0.71
"Kroger","KR","7.58M"," 19,530,000,000","124,100,000,000",NA,0.71
"L Brands","LB","4.59M","  7,120,000,000"," 13,240,000,000",11.2,0.52
"L3 Tech","LLL","676.06K"," 16,530,000,000"," 10,240,000,000",20.71,1.27
"Laboratory of America","LH","917.52K"," 14,450,000,000"," 11,330,000,000",16.2,1.15
"Lam Research","LRCX","2.72M"," 25,760,000,000"," 10,870,000,000",10.38,1.56
"Leggett&Platt","LEG","1.22M","  5,810,000,000","  4,270,000,000",19.7,1.13
"Lennar","LEN","4.04M"," 15,450,000,000"," 23,550,000,000",8.81,1.32
"Lincoln National","LNC","2.17M"," 12,290,000,000"," 16,470,000,000",8.13,1.92
"LKQ","LKQ","3.16M","  8,610,000,000"," 11,880,000,000",17.78,1.27
"Lockheed Martin","LMT","1.40M"," 85,040,000,000"," 53,760,000,000",17.25,1.01
"Loews","L","1.19M"," 14,590,000,000"," 14,090,000,000",23.89,0.67
"Lowe’s","LOW","4.86M"," 79,560,000,000"," 71,160,000,000",NA,1.28
"LyondellBasell Industries","LYB","2.61M"," 32,340,000,000"," 39,000,000,000",7.25,1.11
"M&T Bank","MTB","920.76K"," 23,240,000,000","  3,330,000,000",13.04,1.06
"Macerich","MAC","1.41M","  5,930,000,000","    960,340,000",100.73,0.86
"Macy’s Inc","M","9.85M","  7,100,000,000"," 25,630,000,000",13.74,0.48
"Marathon Oil","MRO","12.98M"," 13,330,000,000","  6,260,000,000",12.52,2.25
"Marathon Petroleum","MPC","6.72M"," 38,730,000,000"," 97,080,000,000",10.82,1.39
"Marriott Int","MAR","2.13M"," 41,000,000,000"," 20,760,000,000",22.94,1.22
"Marsh McLennan","MMC","1.77M"," 45,250,000,000"," 14,950,000,000",27.89,0.88
"Martin Marietta Materials","MLM","781.36K"," 12,260,000,000","  5,050,000,000",26.43,1.08
"Masco","MAS","4.22M"," 11,990,000,000","  8,360,000,000",16.52,1.43
"Mastercard","MA","4.03M","227,620,000,000"," 14,950,000,000",40.18,1.14
"Mattel","MAT","7.12M","  5,000,000,000","  4,510,000,000",NA,1.44
"McCormick&Co","MKC","1.42M"," 18,110,000,000","  5,410,000,000",28.91,0.24
"McDonald’s","MCD","3.84M","137,370,000,000"," 21,030,000,000",23.5,0.53
"McKesson","MCK","1.75M"," 21,480,000,000","213,520,000,000",NA,1.28
"Medtronic","MDT","6.11M","121,400,000,000"," 30,560,000,000",24.14,0.82
"Merck&Co","MRK","12.51M","205,980,000,000"," 42,290,000,000",34.3,0.65
"MetLife","MET","6.55M"," 42,270,000,000"," 67,980,000,000",8.95,1.18
"Mettler-Toledo","MTD","139.41K"," 16,880,000,000","  2,940,000,000",33.94,1.34
"MGM","MGM","9.06M"," 14,230,000,000"," 11,760,000,000",33.32,1.4
"Microchip","MCHP","2.98M"," 20,150,000,000","  5,020,000,000",90.11,1.22
"Micron","MU","35.60M"," 43,330,000,000"," 31,500,000,000",3.21,1.87
"Microsoft","MSFT","34.19M","847,860,000,000","118,460,000,000",25.7,1.21
"Mid-America Apartment","MAA","627.87K"," 12,010,000,000","  1,570,000,000",54.76,0.47
"Mohawk Industries","MHK","1.05M","  9,550,000,000","  9,980,000,000",11.14,1.52
"Molson Coors Brewing B","TAP","1.93M"," 12,850,000,000"," 10,770,000,000",11.53,0.77
"Mondelez","MDLZ","8.58M"," 67,270,000,000"," 32,700,000,000",20.28,0.91
"Monster Beverage","MNST","3.45M"," 32,920,000,000","  3,810,000,000",34.36,1.56
"Moodys","MCO","1.05M"," 32,090,000,000","  4,440,000,000",26.42,1.28
"Morgan Stanley","MS","13.63M"," 70,680,000,000"," 50,190,000,000",8.55,1.18
"Mosaic","MOS","4.11M"," 10,800,000,000","  9,590,000,000",23.08,1.51
"Motorola","MSI","1.11M"," 22,750,000,000","  7,340,000,000",26.99,0.62
"Mylan","MYL","5.28M"," 13,730,000,000"," 11,430,000,000",40.67,1.46
"Nasdaq Inc","NDAQ","884.76K"," 13,800,000,000","  4,280,000,000",18.61,0.69
"National Oilwell Varco","NOV","4.15M","  9,920,000,000","  8,450,000,000",NA,1.26
"Navient","NAVI","2.26M","  2,900,000,000","  1,670,000,000",9.26,2.31
"NetApp","NTAP","3.15M"," 15,610,000,000","  6,200,000,000",16.37,1.39
"Netflix","NFLX","11.06M","152,630,000,000"," 15,790,000,000",133.45,1.39
"Newell Brands","NWL","7.28M","  7,210,000,000"," 10,440,000,000",NA,1.06
"Newmont Mining","NEM","8.67M"," 17,960,000,000","  7,250,000,000",55.06,0.04
"News Corp","NWS","633.05K","  7,630,000,000","  9,940,000,000",NA,1.48
"News Corp A","NWSA","2.55M","  7,490,000,000","  9,940,000,000",NA,1.48
"NextEra Energy","NEE","2.38M"," 90,230,000,000"," 16,730,000,000",14.46,0.28
"Nielsen Holdings","NLSN","3.49M","  9,250,000,000","  6,520,000,000",NA,0.88
"Nike","NKE","7.08M","133,460,000,000"," 38,100,000,000",33,0.68
"NiSource","NI","3.07M"," 10,210,000,000","  5,110,000,000",NA,0.26
"Noble Energy","NBL","6.46M"," 10,360,000,000","  4,990,000,000",NA,1.33
"Nordstrom","JWN","3.23M","  6,920,000,000"," 15,860,000,000",13.27,0.54
"Norfolk Southern","NSC","2.00M"," 47,390,000,000"," 11,460,000,000",18.56,1.42
"Northern Trust","NTRS","1.41M"," 19,550,000,000","  6,410,000,000",13.53,1.09
"Northrop Grumman","NOC","1.13M"," 46,840,000,000"," 30,100,000,000",15.33,0.9
"Norwegian Cruise Line","NCLH","2.23M"," 11,980,000,000","  6,060,000,000",12.88,1.89
"NRG","NRG","3.97M"," 11,650,000,000"," 11,900,000,000",27.68,0.78
"Nucor","NUE","2.58M"," 17,650,000,000"," 30,640,000,000",7.73,1.54
"NVIDIA","NVDA","16.41M"," 91,290,000,000"," 11,720,000,000",24.99,1.88
"O'Reilly","ORLY","706.20K"," 28,540,000,000","  9,540,000,000",22.62,0.85
"Occidental","OXY","4.99M"," 47,000,000,000"," 17,770,000,000",11.71,0.88
"Omnicom","OMC","2.11M"," 16,550,000,000"," 15,290,000,000",12.41,0.71
"ONEOK","OKE","3.06M"," 26,990,000,000"," 12,590,000,000",23.6,1.19
"Oracle","ORCL","17.99M","189,390,000,000"," 39,780,000,000",19.77,1.07
"PACCAR","PCAR","2.22M"," 23,340,000,000"," 23,500,000,000",10.79,1.23
"Pacific Gas&Electric","PCG","25.71M"," 10,230,000,000"," 16,760,000,000",NA,-0.42
"Packaging America","PKG","947.22K","  9,200,000,000","  7,010,000,000",12.52,1.81
"Parker-Hannifin","PH","931.75K"," 21,870,000,000"," 14,520,000,000",15.68,1.47
"Patterson","PDCO","1.12M","  2,060,000,000","  5,540,000,000",26.21,1.34
"Paychex","PAYX","2.12M"," 27,410,000,000","  3,460,000,000",31.88,1.01
"PayPal Holdings Inc","PYPL","8.39M","112,260,000,000"," 15,450,000,000",55.42,1.04
"Pentair","PNR","1.54M","  7,140,000,000","  2,970,000,000",19.57,1.24
"People’s United","PBCT","4.05M","  6,480,000,000","  1,000,000,000",13.58,1.17
"PepsiCo","PEP","5.41M","162,360,000,000"," 64,660,000,000",13.13,0.66
"PerkinElmer","PKI","601.80K"," 10,180,000,000","  2,780,000,000",43.54,1.26
"Perrigo","PRGO","1.85M","  6,320,000,000","  4,730,000,000",49.53,1.31
"Pfizer","PFE","26.23M","227,010,000,000"," 53,650,000,000",23.79,0.76
"Philip Morris","PM","7.25M","135,950,000,000"," 29,630,000,000",17.15,0.99
"Phillips 66","PSX","2.92M"," 42,900,000,000","111,270,000,000",7.88,0.93
"Pinnacle West","PNW","1.15M"," 10,450,000,000","  3,690,000,000",20.78,0.18
"Pioneer Natural Resources","PXD","1.92M"," 22,100,000,000","  9,380,000,000",22.91,1.01
"PNC Financial","PNC","2.66M"," 58,460,000,000"," 10,330,000,000",11.8,1.04
"PPG Industries","PPG","1.29M"," 25,880,000,000"," 15,370,000,000",20.55,1.18
"PPL","PPL","5.41M"," 23,040,000,000","  7,790,000,000",12.4,0.59
"Principal Financial","PFG","1.83M"," 13,890,000,000"," 14,270,000,000",9.33,1.5
"Procter&Gamble","PG","10.11M","246,180,000,000"," 66,910,000,000",23.93,0.36
"Progressive","PGR","3.49M"," 42,200,000,000"," 31,950,000,000",16.33,0.76
"Prologis","PLD","2.81M"," 44,090,000,000","  2,800,000,000",23.25,1.05
"Prudential Financial","PRU","2.38M"," 38,160,000,000"," 63,270,000,000",10.22,1.43
"Public Service Enterprise","PEG","3.34M"," 29,730,000,000","  9,700,000,000",20.76,0.44
"Public Storage","PSA","1.03M"," 37,400,000,000","  2,750,000,000",25.09,0.29
"PulteGroup","PHM","5.50M","  7,640,000,000"," 12,160,000,000",7.75,0.79
"PVH","PVH","1.13M","  8,460,000,000","  9,670,000,000",16.41,1.08
"Qorvo Inc","QRVO","1.34M","  8,420,000,000","  3,070,000,000",393.91,0.86
"Qualcomm","QCOM","15.47M"," 64,790,000,000"," 21,510,000,000",35.57,1.23
"Quanta Services","PWR","1.58M","  4,990,000,000"," 11,170,000,000",18.88,1.04
"Quest Diagnostics","DGX","1.36M"," 11,330,000,000","  7,530,000,000",16.31,0.89
"Ralph Lauren A","RL","1.06M","  9,600,000,000","  6,340,000,000",23.31,0.71
"Range Resources","RRC","8.21M","  2,450,000,000","  4,090,000,000",NA,1.18
"Raymond James Financial","RJF","1.05M"," 11,330,000,000","  7,710,000,000",12.27,1.55
"Raytheon","RTN","2.11M"," 51,020,000,000"," 27,060,000,000",17.81,1.02
"Realty Income","O","2.14M"," 21,190,000,000","  1,330,000,000",55.57,0.19
"Red Hat","RHT","1.93M"," 31,940,000,000","  3,260,000,000",82.53,0.55
"Regency Centers","REG","1.02M"," 10,680,000,000","  1,120,000,000",43.53,0.58
"Regeneron Pharma","REGN","726.11K"," 44,000,000,000","  6,710,000,000",19.45,1.21
"Regions Financial","RF","13.23M"," 15,740,000,000","  3,270,000,000",11.62,1.53
"Republic Services","RSG","1.40M"," 25,050,000,000"," 10,040,000,000",24.65,0.6
"ResMed","RMD","1.17M"," 14,470,000,000","  2,450,000,000",31.46,0.58
"Robert Half","RHI","1.10M","  7,700,000,000","  5,800,000,000",17.91,1.34
"Rockwell Automation","ROK","1.05M"," 21,060,000,000","  6,720,000,000",23.59,1.35
"Roper Technologies","ROP","437.34K"," 32,910,000,000","  5,190,000,000",35.65,1.21
"Ross Stores","ROST","2.59M"," 33,000,000,000"," 14,980,000,000",20.9,0.92
"Royal Caribbean Cruises","RCL","1.69M"," 24,380,000,000","  9,490,000,000",13.58,1.55
"S&P Global","SPGI","1.58M"," 49,260,000,000","  6,260,000,000",25.39,1.15
"Salesforce.com","CRM","6.26M","118,620,000,000"," 13,280,000,000",107.92,1.42
"SBA Communications","SBAC","736.98K"," 20,660,000,000","  1,870,000,000",550.73,0.82
"Schlumberger","SLB","13.45M"," 57,230,000,000"," 32,820,000,000",26.9,1.38
"Seagate","STX","3.77M"," 13,020,000,000"," 11,340,000,000",6.77,1.67
"Sealed Air","SEE","1.99M","  6,980,000,000","  4,730,000,000",19.19,1.13
"Sempra Energy","SRE","1.78M"," 33,520,000,000"," 11,660,000,000",36.56,0.54
"Sherwin-Williams","SHW","747.74K"," 38,650,000,000"," 17,530,000,000",36.04,1.27
"Signet Jewelers","SIG","1.85M","  1,360,000,000","  6,390,000,000",NA,1.04
"Simon Property","SPG","1.56M"," 53,830,000,000","  5,660,000,000",22.14,0.56
"Skyworks","SWKS","2.12M"," 13,950,000,000","  3,790,000,000",13.2,0.68
"SL Green","SLG","685.90K","  7,620,000,000","  1,230,000,000",34.65,1.34
"Snap-On","SNA","684.33K","  8,770,000,000","  4,070,000,000",13.2,1.26
"Southern","SO","5.47M"," 52,660,000,000"," 23,500,000,000",23.77,0.18
"Southwest Airlines","LUV","5.10M"," 28,610,000,000"," 21,970,000,000",12.03,1.54
"Stanley Black Decker","SWK","1.54M"," 19,560,000,000"," 13,980,000,000",24.38,1.25
"Starbucks","SBUX","12.14M"," 86,260,000,000"," 25,280,000,000",30.54,0.49
"State Street","STT","3.18M"," 25,790,000,000","  6,430,000,000",10.76,1.42
"Stericycle","SRCL","1.24M","  4,350,000,000","  3,490,000,000",NA,1.02
"Stryker","SYK","1.53M"," 69,770,000,000"," 13,600,000,000",35.7,0.89
"SunTrust Banks","STI","5.28M"," 28,530,000,000","  5,380,000,000",11.3,1.55
"Symantec","SYMC","5.97M"," 14,030,000,000","  4,750,000,000",177.75,1.11
"Synchrony Financial","SYF","8.13M"," 22,670,000,000","  9,700,000,000",8.42,1.28
"Synopsys","SNPS","1.17M"," 15,450,000,000","  3,170,000,000",27.07,1.27
"Sysco","SYY","3.34M"," 33,780,000,000"," 59,650,000,000",23.28,0.55
"T Rowe","TROW","1.62M"," 22,880,000,000","  5,370,000,000",13.13,1.07
"Tapestry","TPR","4.05M","  9,730,000,000","  5,990,000,000",13.13,0.77
"Target","TGT","5.69M"," 39,250,000,000"," 75,360,000,000",13.96,0.63
"TE Connectivity","TEL","1.90M"," 27,510,000,000"," 13,860,000,000",9.46,1.02
"TechnipFMC","FTI","4.38M","  9,440,000,000"," 12,550,000,000",NA,NA
"Texas Instruments","TXN","6.41M"," 98,410,000,000"," 15,780,000,000",18.9,1.16
"Textron","TXT","1.96M"," 11,950,000,000"," 13,970,000,000",10.64,1.68
"The AES","AES","6.27M"," 11,720,000,000"," 10,740,000,000",11.49,1.06
"The Charles Schwab","SCHW","7.35M"," 57,910,000,000"," 10,990,000,000",17.77,1.35
"The Goodyear Tire&Rubber","GT","5.56M","  4,090,000,000"," 15,480,000,000",6,1.53
"Thermo Fisher Scientific","TMO","1.81M"," 99,690,000,000"," 24,360,000,000",34.53,1.15
"Tiffany&Co","TIF","1.81M"," 11,500,000,000","  4,460,000,000",20.07,1.56
"TJX","TJX","6.90M"," 62,550,000,000"," 38,970,000,000",20.86,0.65
"Torchmark","TMK","564.15K","  8,950,000,000","  4,300,000,000",13.35,1.01
"Total System Services","TSS","1.43M"," 16,810,000,000","  5,020,000,000",29.64,1.13
"Tractor Supply","TSCO","1.50M"," 11,010,000,000","  7,910,000,000",20.92,1.11
"Transdigm","TDG","380.37K"," 22,620,000,000","  3,960,000,000",29,1.01
"Travelers","TRV","1.57M"," 34,550,000,000"," 30,280,000,000",14.12,1.09
"TripAdvisor","TRIP","2.35M","  7,020,000,000","  1,620,000,000",57.58,1.31
"Twenty-First Century Fox A","FOXA","10.12M"," 93,680,000,000"," 31,040,000,000",6.75,0.98
"Tyson Foods","TSN","3.04M"," 22,980,000,000"," 40,020,000,000",12.45,0.45
"Ulta Beauty","ULTA","815.60K"," 18,170,000,000","  6,530,000,000",26.97,1.02
"Under Armour A","UAA","5.80M","  9,630,000,000","  5,190,000,000",9714.93,0.44
"Under Armour C","UA","2.82M","  8,580,000,000","  5,190,000,000",9714.93,0.44
"Union Pacific","UNP","4.31M","118,770,000,000"," 22,830,000,000",20.73,1.1
"United Continental","UAL","3.61M"," 21,980,000,000"," 41,300,000,000",10.66,0.99
"United Dominion","UDR","1.75M"," 12,370,000,000","  1,050,000,000",60.92,0.54
"United Parcel Service","UPS","3.72M"," 91,770,000,000"," 71,860,000,000",19.37,1.2
"United Rentals","URI","1.69M","  9,810,000,000","  8,050,000,000",9.31,2.53
"United Technologies","UTX","5.18M","106,870,000,000"," 66,500,000,000",16.68,1.18
"UnitedHealth","UNH","4.38M","227,690,000,000","226,250,000,000",19.46,0.81
"Universal Health Services","UHS","783.87K"," 11,730,000,000"," 10,770,000,000",15.81,1.14
"Unum","UNM","2.08M","  7,730,000,000"," 11,620,000,000",15.23,1.47
"US Bancorp","USB","7.65M"," 81,410,000,000"," 13,350,000,000",12.28,1.1
"Valero Energy","VLO","4.19M"," 33,300,000,000","117,030,000,000",11.01,1.15
"Varian","VAR","715.39K"," 12,120,000,000","  2,980,000,000",33.45,0.85
"Ventas","VTR","2.17M"," 22,110,000,000","  3,750,000,000",65.47,0.38
"VeriSign","VRSN","730.31K"," 21,280,000,000","  1,210,000,000",37.78,1.08
"Verisk","VRSK","762.02K"," 20,600,000,000","  2,400,000,000",35.36,0.79
"Verizon","VZ","16.41M","233,580,000,000","130,860,000,000",15.04,0.49
"Vertex","VRTX","1.47M"," 45,320,000,000","  3,690,000,000",85.75,1.67
"VF","VFC","2.31M"," 33,310,000,000"," 13,680,000,000",23.95,1.17
"Viacom B","VIAB","4.11M"," 11,630,000,000"," 12,960,000,000",8.16,1.48
"Visa","V","9.51M","324,300,000,000"," 21,250,000,000",31.68,1
"Vornado","VNO","1.00M"," 12,890,000,000","  2,700,000,000",33.66,1.09
"Vulcan Materials","VMC","1.25M"," 14,970,000,000","  5,240,000,000",29.31,0.9
"Walgreens Boots","WBA","6.52M"," 56,510,000,000","134,590,000,000",11.3,0.92
"Walmart","WMT","8.45M","283,520,000,000","514,410,000,000",43.34,0.36
"Walt Disney","DIS","7.85M","169,670,000,000"," 59,390,000,000",15.73,0.92
"Waste Management","WM","1.94M"," 42,190,000,000"," 14,910,000,000",22.32,0.69
"Waters","WAT","626.70K"," 17,450,000,000","  2,420,000,000",30.78,1.19
"WEC Energy","WEC","1.74M"," 24,290,000,000","  7,680,000,000",23.04,0.15
"Wells Fargo&Co","WFC","22.53M","226,560,000,000"," 50,990,000,000",11.53,1.09
"Welltower","WELL","2.41M"," 28,970,000,000","  4,700,000,000",81.93,0.44
"Western Digital","WDC","7.30M"," 13,810,000,000"," 19,390,000,000",16.48,1.52
"Western Union","WU","5.66M","  7,940,000,000","  5,590,000,000",9.31,0.92
"WestRock Co","WRK","2.76M","  9,630,000,000"," 16,720,000,000",12.48,1.69
"Weyerhaeuser","WY","5.96M"," 18,410,000,000","  7,480,000,000",25.07,1.62
"Whirlpool","WHR","916.46K","  8,750,000,000"," 21,040,000,000",NA,1.61
"Williams","WMB","9.33M"," 32,610,000,000","  8,690,000,000",19656.93,1.73
"Willis Towers Watson","WLTW","897.84K"," 21,850,000,000","  8,510,000,000",32.23,0.82
"WW Grainger","GWW","519.48K"," 16,340,000,000"," 13,990,000,000",21.39,1.01
"Wyndham","WYND","894.85K","  4,230,000,000","  3,930,000,000",16.47,1.54
"Wynn Resorts","WYNN","2.43M"," 12,870,000,000","  6,720,000,000",76.25,1.69
"Xcel Energy","XEL","4.06M"," 28,620,000,000"," 11,540,000,000",31.32,0.2
"Xerox","XRX","3.94M","  6,960,000,000","  9,830,000,000",17.39,1.74
"Xilinx","XLNX","3.66M"," 30,030,000,000","  2,900,000,000",35.28,1.18
"Xylem","XYL","961.62K"," 13,480,000,000","  5,210,000,000",24.42,1.14
"Yum! Brands","YUM","2.10M"," 29,620,000,000","  5,690,000,000",21.75,0.54
"Zimmer Biomet","ZBH","1.36M"," 24,860,000,000","  7,930,000,000",NA,1.24
"Zions","ZION","2.75M","  9,070,000,000","  1,560,000,000",11.93,1.51
"Zoetis Inc","ZTS","2.47M"," 44,400,000,000","  5,830,000,000",32.53,0.92
